                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3138,                 2.5405,                 1.5655,                0.57999,                0.24873,                 0.3015,                0.16779,                 1.4615,                 1.7363,                 1.7133,              0.0033314,              0.0033314,              0.0033314
                      2,                 1.3082,                 1.8828,                 1.5646,                0.59218,                0.36733,                0.33554,                0.17153,                  1.557,                 1.4707,                 1.8353,              0.0065987,              0.0065987,              0.0065987
                      3,                 1.4025,                 1.7174,                 1.6267,                0.54659,                 0.2859,                0.26886,                0.13832,                 1.6148,                 1.5261,                 1.8659,              0.0098001,              0.0098001,              0.0098001
                      4,                 1.4358,                 1.6779,                 1.6701,                0.61995,                0.26551,                0.29021,                0.15834,                 1.6181,                 1.5088,                  1.875,               0.009703,               0.009703,               0.009703
                      5,                 1.3773,                 1.5518,                   1.63,                0.74637,                0.37785,                0.44116,                0.24004,                  1.499,                 1.2966,                 1.7749,               0.009604,               0.009604,               0.009604
                      6,                 1.3289,                 1.4531,                 1.5872,                0.74453,                0.41038,                0.51961,                 0.3059,                 1.4628,                 1.2247,                  1.726,               0.009505,               0.009505,               0.009505
                      7,                 1.2916,                 1.3819,                 1.5574,                0.55361,                0.52712,                0.59724,                0.34271,                 1.4042,                  1.126,                 1.6843,               0.009406,               0.009406,               0.009406
                      8,                 1.2769,                 1.3348,                 1.5485,                0.77514,                0.52664,                0.60243,                0.35479,                 1.4345,                 1.0513,                 1.7204,               0.009307,               0.009307,               0.009307
                      9,                 1.2427,                 1.2688,                 1.5209,                0.66549,                0.67004,                0.69449,                 0.4239,                 1.3879,                0.99942,                 1.6592,               0.009208,               0.009208,               0.009208
                     10,                 1.2273,                 1.2398,                 1.5091,                0.52683,                0.62867,                0.67164,                0.43664,                 1.3344,                0.93438,                 1.6066,               0.009109,               0.009109,               0.009109
                     11,                 1.2096,                 1.1944,                 1.4913,                0.62863,                0.69566,                0.70563,                0.45999,                 1.3396,                0.91571,                 1.6029,                0.00901,                0.00901,                0.00901
                     12,                 1.1895,                 1.1589,                  1.485,                0.67528,                0.68517,                0.71039,                0.45925,                 1.3295,                 0.9112,                 1.6136,               0.008911,               0.008911,               0.008911
                     13,                 1.1918,                  1.158,                 1.4818,                0.68904,                0.64693,                0.72674,                0.46914,                 1.2982,                0.87488,                 1.5717,               0.008812,               0.008812,               0.008812
                     14,                 1.1758,                  1.135,                 1.4663,                0.78414,                0.65763,                 0.7358,                0.48855,                 1.2667,                0.86153,                 1.5527,               0.008713,               0.008713,               0.008713
                     15,                 1.1686,                 1.1003,                 1.4607,                0.70289,                0.69927,                0.72425,                0.48209,                 1.2977,                 0.8239,                 1.5699,               0.008614,               0.008614,               0.008614
                     16,                 1.1544,                  1.088,                 1.4488,                0.80755,                0.66023,                 0.7749,                 0.5264,                 1.2453,                0.79969,                  1.526,               0.008515,               0.008515,               0.008515
                     17,                 1.1533,                 1.0771,                 1.4455,                0.81876,                0.70872,                0.78211,                   0.51,                 1.2606,                0.81044,                 1.5429,               0.008416,               0.008416,               0.008416
                     18,                 1.1426,                 1.0567,                 1.4427,                0.74978,                0.72906,                0.78618,                0.54343,                 1.2238,                0.78309,                 1.5041,               0.008317,               0.008317,               0.008317
                     19,                 1.1202,                 1.0351,                 1.4241,                0.79542,                0.68796,                0.76571,                0.53621,                 1.2169,                0.77668,                 1.4965,               0.008218,               0.008218,               0.008218
                     20,                 1.1146,                 1.0177,                  1.411,                0.78211,                0.74056,                0.81568,                0.55691,                 1.2191,                 0.7406,                  1.497,               0.008119,               0.008119,               0.008119
                     21,                 1.1215,                 1.0054,                 1.4173,                0.79693,                0.71175,                0.79769,                0.55901,                 1.2057,                0.74439,                 1.4851,                0.00802,                0.00802,                0.00802
